#tstep,        time,  Ref. state,       state,    Pcontrol,    Icontrol,    Dcontrol,   D2control,       noise,     capping,         raw,     control
     1,    0.000099,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000
     2,    0.000199,    0.000000,    0.000072,   -0.000016,   -0.000000,   -0.000000,    0.000000,    0.000000,    0.000000,   -0.000017,   -0.000016
     3,    0.000298,    0.000000,    0.000163,   -0.000054,   -0.000000,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000055,   -0.000054
     4,    0.000398,    0.000000,    0.000173,   -0.000076,   -0.000000,   -0.000000,    0.000000,    0.000000,    0.000000,   -0.000080,   -0.000077
     5,    0.000497,    0.000000,    0.000219,   -0.000121,   -0.000001,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000124,   -0.000122
     6,    0.000597,    0.000000,    0.000217,   -0.000143,   -0.000002,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000148,   -0.000145
     7,    0.000696,    0.000000,    0.000242,   -0.000187,   -0.000002,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000192,   -0.000189
     8,    0.000796,    0.000000,    0.000234,   -0.000206,   -0.000003,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000213,   -0.000209
     9,    0.000895,    0.000000,    0.000248,   -0.000245,   -0.000004,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000252,   -0.000249
    10,    0.000995,    0.000000,    0.000236,   -0.000260,   -0.000005,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000268,   -0.000265
    11,    0.001094,    0.000000,    0.000243,   -0.000294,   -0.000007,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000303,   -0.000301
    12,    0.001194,    0.000000,    0.000231,   -0.000304,   -0.000008,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000315,   -0.000313
    13,    0.001293,    0.000000,    0.000233,   -0.000334,   -0.000010,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000344,   -0.000343
    14,    0.001392,    0.000000,    0.000221,   -0.000340,   -0.000011,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000352,   -0.000352
    15,    0.001492,    0.000000,    0.000221,   -0.000365,   -0.000013,   -0.000000,   -0.000000,    0.000000,    0.000000,   -0.000377,   -0.000378
    16,    0.001591,    0.000000,    0.000209,   -0.000368,   -0.000015,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000382,   -0.000383
    17,    0.001691,    0.000000,    0.000208,   -0.000389,   -0.000017,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000404,   -0.000406
    18,    0.001790,    0.000000,    0.000197,   -0.000390,   -0.000019,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000406,   -0.000409
    19,    0.001890,    0.000000,    0.000195,   -0.000408,   -0.000021,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000425,   -0.000429
    20,    0.001989,    0.000000,    0.000185,   -0.000407,   -0.000024,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000426,   -0.000431
    21,    0.002089,    0.000000,    0.000183,   -0.000422,   -0.000026,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000442,   -0.000448
    22,    0.002188,    0.000000,    0.000174,   -0.000420,   -0.000028,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000442,   -0.000449
    23,    0.002288,    0.000000,    0.000171,   -0.000433,   -0.000031,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000456,   -0.000464
    24,    0.002387,    0.000000,    0.000163,   -0.000430,   -0.000033,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000455,   -0.000464
    25,    0.002487,    0.000000,    0.000161,   -0.000442,   -0.000036,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000468,   -0.000477
    26,    0.002586,    0.000000,    0.000153,   -0.000438,   -0.000038,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000466,   -0.000476
    27,    0.002685,    0.000000,    0.000151,   -0.000448,   -0.000041,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000478,   -0.000489
    28,    0.002785,    0.000000,    0.000144,   -0.000444,   -0.000044,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000475,   -0.000487
    29,    0.002884,    0.000000,    0.000142,   -0.000452,   -0.000047,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000486,   -0.000499
    30,    0.002984,    0.000000,    0.000136,   -0.000448,   -0.000049,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000483,   -0.000497
    31,    0.003083,    0.000000,    0.000133,   -0.000455,   -0.000052,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000493,   -0.000507
    32,    0.003183,    0.000000,    0.000128,   -0.000450,   -0.000055,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000490,   -0.000505
    33,    0.003282,    0.000000,    0.000126,   -0.000457,   -0.000058,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000499,   -0.000515
    34,    0.003382,    0.000000,    0.000121,   -0.000451,   -0.000061,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000495,   -0.000512
    35,    0.003481,    0.000000,    0.000119,   -0.000457,   -0.000064,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000503,   -0.000521
    36,    0.003581,    0.000000,    0.000114,   -0.000451,   -0.000067,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000500,   -0.000518
    37,    0.003680,    0.000000,    0.000112,   -0.000456,   -0.000070,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000507,   -0.000526
    38,    0.003780,    0.000000,    0.000108,   -0.000450,   -0.000074,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000503,   -0.000523
    39,    0.003879,    0.000000,    0.000106,   -0.000454,   -0.000077,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000510,   -0.000531
    40,    0.003978,    0.000000,    0.000102,   -0.000448,   -0.000080,    0.000000,    0.000000,    0.000000,    0.000000,   -0.000506,   -0.000528
    41,    0.004078,    0.000000,    0.000100,   -0.000452,   -0.000083,    0.000000,   -0.000000,    0.000000,    0.000000,   -0.000513,   -0.000535
